Id,Lesson,Question,AnswerText
1,Multiplication and Repeated Addition,<p>3 + 3 + 3 + 3 is the same as:</p>,"Right:<p>8 + 8 + 8 + 8 + 8</p>,Wrong:<p>3&nbsp;&times; 3</p>,Wrong:<p>4 &times;&nbsp;4</p>,Wrong:<p>3&nbsp;&times; 3&nbsp;&times; 3&nbsp;&times; 3</p>,Wrong:<p>9 &times; 9</p>,Wrong:<p>4 &times; 4</p>,Wrong:<p>9 &times; 9 &times; 9 &times; 9</p>,Wrong:<p>8 + 5</p>,Wrong:<p>5 + 5</p>,Wrong:<p>5 + 5 + 5 + 5 + 5</p>"
2,Multiplication and Repeated Addition,<p>3 + 3 + 3 + 3 + 3 + 3&nbsp;is the same as:</p>,"Right:<p>6 &times; 3</p>,Wrong:<p>3 &times; 3</p>,Wrong:<p>6 &times; 6</p>,Wrong:<p>3 &times; 3 &times; 3 &times; 3 &times; 3 &times; 3</p>"
3,Multiplication and Repeated Addition,<p>7 + 7 + 7 is the same as:</p>,"Right:<p>3 + 3 + 3 + 3 + 3 + 3</p>,Wrong:<p>7 &times; 7</p>,Wrong:<p>3 &times; 3</p>,Wrong:<p>7 &times; 7 &times; 7</p>,Wrong:<p>6 + 3</p>,Wrong:<p>6 + 6</p>,Wrong:<p>3 + 3 + 3</p>"
4,Multiplication and Repeated Addition,<p>4 + 4 + 4 + 4 is the same as:</p>,"Right:<p>9 + 9 + 9 + 9 + 9 + 9</p>,Wrong:<p>4 &times; 3</p>,Wrong:<p>4 + 4</p>,Wrong:<p>4 &times; 4 &times; 4 &times; 4</p>,Wrong:<p>9 + 6</p>,Wrong:<p>9 + 9</p>,Wrong:<p>6 + 6 + 6 + 6 + 6 + 6</p>"
5,Multiplication and Groups,<p>The multiplication sentence 6 &times; 2 can be represented as:</p>,"Right:<p>120</p>,Wrong:<p>6 groups of 1 element each</p>,Wrong:<p>2&nbsp;groups of 3&nbsp;elements each</p>,Wrong:<p>3&nbsp;groups of 3&nbsp;elements each</p>,Wrong:<p>6 + 4</p>,Wrong:<p>6 &times; 4 - 6</p>,Wrong:<p>6&nbsp;+ 6 + 6 + 6 + 6</p>,Wrong:<p>30</p>,Wrong:<p>120</p>,Wrong:<p>150</p>,Wrong:<p>30</p>,Wrong:<p>480</p>,Wrong:<p>360</p>"
6,Dividend and Divisor,"<p>The sentence that represents ""Equally sharing 20 cookies among 5 children"" is:</p>","Right:<p>The quotient</p>,Wrong:<p>25 &divide;&nbsp;4</p>,Wrong:<p>20 &divide;&nbsp;4</p>,Wrong:<p>25 &divide; 5</p>,Wrong:<p>6 &divide; 2 = 2</p>,Wrong:<p>12&nbsp;&divide; 2 =&nbsp;6</p>,Wrong:<p>12&nbsp;&divide; 6&nbsp;=&nbsp;2</p>,Wrong:<p>The quotient</p>,Wrong:<p>The dividend</p>,Wrong:<p>42</p>,Wrong:<p>7</p>,Wrong:<p>0</p>,Wrong:<p>7</p>,Wrong:<p>28</p>,Wrong:<p>3</p>,Wrong:<p>The divisor</p>,Wrong:<p>The dividend</p>"
7,Dividing Using Groups,<p>Sam has 32 baseball cards and wants to place them equally into 4 boxes. The number of cards in each box can be represented as:</p>,"Right:<p>There are 30 eggs sorted equally into 6 cartoons</p>,Wrong:<p>32 &divide; 3</p>,Wrong:<p>32 &divide; 8</p>,Wrong:<p>8 &divide; 4</p>,Wrong:<p>24 - 6</p>,Wrong:<p>24 &divide; 7</p>,Wrong:<p>24 &divide; 5</p>,Wrong:<p>8</p>,Wrong:<p>5</p>,Wrong:<p>3</p>,Wrong:<p>6</p>,Wrong:<p>5</p>,Wrong:<p>3</p>,Wrong:<p>3 groups of 21 elements each</p>,Wrong:<p>7&nbsp;groups of 21 elements each</p>,Wrong:<p>7&nbsp;groups of 10 elements each</p>,Wrong:<p>Jimmy has a total of 7 fish divided evenly into 35 fishbowls</p>,Wrong:<p>Jimmy has a total of 5 fish divided evenly into 7 fishbowls</p>,Wrong:<p>Jimmy has a total of 35 fish divided evenly into 5 fishbowls</p>,Wrong:<p>7 groups of 42 elements each</p>,Wrong:<p>6 groups of 6 elements each</p>,Wrong:<p>42 groups of 6 elements each</p>,Wrong:<p>There are 30 eggs and we used 6 eggs to make an omelet</p>,Wrong:<p>There are 30 boxes of candy with 6 pieces each</p>,Wrong:<p>There are 30 boxes at the super market and they got 6 more</p>"
8,Multiplication Using Arrays,"<p>A class has 5 rows of seats, each row has 7 seats. How many seats are there in the class in total?</p>","Right:<p>72</p>,Wrong:<p>12</p>,Wrong:<p>13</p>,Wrong:<p>40</p>,Wrong:<p>17</p>,Wrong:<p>80</p>,Wrong:<p>98</p>,Wrong:<p>38</p>,Wrong:<p>48</p>,Wrong:<p>532</p>,Wrong:<p>16</p>,Wrong:<p>79</p>,Wrong:<p>97</p>,Wrong:<p>17</p>,Wrong:<p>80</p>,Wrong:<p>98</p>"
9,Multiplication Using Arrays,"<p>A class has 6 rows of seats, each row has 4 seats. How many seats are there in the class in total?</p>","Right:<p>30</p>,Wrong:<p>18</p>,Wrong:<p>20</p>,Wrong:<p>46</p>,Wrong:<p>11</p>,Wrong:<p>56</p>,Wrong:<p>65</p>"
10,Multiplication Using Arrays,"<p>A class has 3 rows of seats, each row has 5 seats. How many seats are there in the class in total?</p>","Right:<p>32</p>,Wrong:<p>8</p>,Wrong:<p>10</p>,Wrong:<p>30</p>,Wrong:<p>12</p>,Wrong:<p>48</p>,Wrong:<p>84</p>"
11,Multiplication Using Arrays,"<p>A class has 4 rows of seats, each row has 7 seats. How many seats are there in the class in total?</p>","Right:<p>16</p>,Wrong:<p>11</p>,Wrong:<p>15</p>,Wrong:<p>47</p>,Wrong:<p>10</p>,Wrong:<p>28</p>,Wrong:<p>82</p>"
12,Multiplication Using Arrays,"<p>Emma drew 6 rows of blocks, each row contains 9 blocks. How many blocks did she draw in total?</p>","Right:<p>54</p>,Wrong:<p>15</p>,Wrong:<p>69</p>,Wrong:<p>96</p>"
13,Multiplication Using the Number Line,"<p>A class has 5 rows of seats, each row has 7 seats. How many seats are there in the class in total?</p>","Right:<p>72</p>,Wrong:<p>12</p>,Wrong:<p>13</p>,Wrong:<p>40</p>,Wrong:<p>17</p>,Wrong:<p>80</p>,Wrong:<p>98</p>"
14,Multiplication Using the Number Line,"<p>A class has 6 rows of seats, each row has 4 seats. How many seats are there in the class in total?</p>","Right:<p>24</p>,Wrong:<p>18</p>,Wrong:<p>20</p>,Wrong:<p>46</p>"
15,Multiplication Using the Number Line,"<p>A class has 3 rows of seats, each row has 5 seats. How many seats are there in the class in total?</p>","Right:<p>15</p>,Wrong:<p>8</p>,Wrong:<p>10</p>,Wrong:<p>30</p>"
16,Multiplication Using the Number Line,"<p>A class has 4 rows of seats, each row has 7 seats. How many seats are there in the class in total?</p>","Right:<p>28</p>,Wrong:<p>11</p>,Wrong:<p>15</p>,Wrong:<p>47</p>"
17,Multiplication Using Groups,"<p>A class has 5 rows of seats, each row has 7 seats. How many seats are there in the class in total?</p>","Right:<p>9</p>,Wrong:<p>12</p>,Wrong:<p>13</p>,Wrong:<p>40</p>,Wrong:<p>17</p>,Wrong:<p>80</p>,Wrong:<p>98</p>,Wrong:<p>16</p>,Wrong:<p>79</p>,Wrong:<p>97</p>,Wrong:<p>18</p>,Wrong:<p>27</p>,Wrong:<p>8</p>,Wrong:<p>6</p>,Wrong:<p>24</p>,Wrong:<p>32</p>,Wrong:<p>7</p>,Wrong:<p>42</p>,Wrong:<p>54</p>,Wrong:<p>17</p>,Wrong:<p>80</p>,Wrong:<p>98</p>,Wrong:<p>6</p>,Wrong:<p>2</p>,Wrong:<p>18</p>"
18,Multiplication Using Groups,"<p>A class has 6 rows of seats, each row has 4 seats. How many seats are there in the class in total?</p>","Right:<p>30</p>,Wrong:<p>18</p>,Wrong:<p>20</p>,Wrong:<p>46</p>,Wrong:<p>11</p>,Wrong:<p>56</p>,Wrong:<p>65</p>"
19,Multiplication Using Groups,"<p>A class has 3 rows of seats, each row has 5 seats. How many seats are there in the class in total?</p>","Right:<p>32</p>,Wrong:<p>8</p>,Wrong:<p>10</p>,Wrong:<p>30</p>,Wrong:<p>12</p>,Wrong:<p>48</p>,Wrong:<p>84</p>"
20,Multiplication Using Groups,"<p>A class has 4 rows of seats, each row has 7 seats. How many seats are there in the class in total?</p>","Right:<p>16</p>,Wrong:<p>11</p>,Wrong:<p>15</p>,Wrong:<p>47</p>,Wrong:<p>10</p>,Wrong:<p>28</p>,Wrong:<p>82</p>"
21,Multiplication Using Groups,"<p>Emma drew 6 rows of blocks, each row contains 9 blocks. How many blocks did she draw in total?</p>","Right:<p>54</p>,Wrong:<p>15</p>,Wrong:<p>69</p>,Wrong:<p>96</p>"
22,Division Using Groups,<p>A mother made 40 cookies and she wants to divide them equally among 10 children. How many cookies will each child get?</p>,"Right:<p>9</p>,Wrong:<p>6</p>,Wrong:<p>1</p>,Wrong:<p>10</p>,Wrong:<p>25</p>,Wrong:<p>10</p>,Wrong:<p>2</p>,Wrong:<p>10</p>,Wrong:<p>7</p>,Wrong:<p>5</p>,Wrong:<p>10</p>,Wrong:<p>7</p>,Wrong:<p>5</p>,Wrong:<p>12</p>,Wrong:<p>10</p>,Wrong:<p>4</p>,Wrong:<p>12</p>,Wrong:<p>16</p>,Wrong:<p>3</p>,Wrong:<p>18</p>,Wrong:<p>27</p>,Wrong:<p>8</p>,Wrong:<p>8</p>,Wrong:<p>6</p>,Wrong:<p>7</p>,Wrong:<p>37</p>,Wrong:<p>7</p>,Wrong:<p>11</p>,Wrong:<p>72</p>,Wrong:<p>6</p>,Wrong:<p>4</p>,Wrong:<p>6</p>,Wrong:<p>2</p>,Wrong:<p>18</p>"
23,Division Using Arrays,<p>A mother made 40 cookies and she wants to divide them equally among 10 children. How many cookies will each child get?</p>,"Right:<p>8</p>,Wrong:<p>6</p>,Wrong:<p>1</p>,Wrong:<p>10</p>,Wrong:<p>25</p>,Wrong:<p>10</p>,Wrong:<p>2</p>,Wrong:<p>10</p>,Wrong:<p>7</p>,Wrong:<p>5</p>,Wrong:<p>10</p>,Wrong:<p>7</p>,Wrong:<p>5</p>,Wrong:<p>37</p>,Wrong:<p>7</p>,Wrong:<p>11</p>,Wrong:<p>72</p>,Wrong:<p>6</p>,Wrong:<p>4</p>"
24,The Multiplication Table,<p>3 &times; 5 =</p>,"Right:<p>7 &times; 4 = 28</p>,Wrong:<p>5</p>,Wrong:<p>10</p>,Wrong:<p>9</p>,Wrong:<p>3 &times; 5</p>,Wrong:<p>6 &times; 1</p>,Wrong:<p>3 &times; 0</p>,Wrong:<p>9 &times; 8 = 72</p>,Wrong:<p>5 &times; 60 = 300</p>,Wrong:<p>9 &times; 5 = 45</p>,Wrong:<p>9 &times; 8 = 73</p>,Wrong:<p>80 &times; 6 = 560</p>,Wrong:<p>9 &times; 7 = 62</p>"
25,The Multiplication Table,"<p>Which of the following multiplication sentences is <span style=""text-decoration: underline;"">not true</span>?</p>","Right:<p>7 &times; 6 = 42</p>,Wrong:<p>6 &times; 8 = 48</p>,Wrong:<p>4 &times; 20 = 80</p>,Wrong:<p>3 &times; 8 = 24</p>,Wrong:<p>7 &times; 8 = 65</p>,Wrong:<p>20 &times; 7 = 150</p>,Wrong:<p>5 &times; 6 = 35</p>"
26,The Multiplication Table,"<p>Which of the following multiplication sentences is <span style=""text-decoration: underline;"">not true</span>?</p>","Right:<p>8 &times; 6 = 48</p>,Wrong:<p>11 &times; 4 = 44</p>,Wrong:<p>5 &times; 70 = 350</p>,Wrong:<p>7 &times; 2 = 14</p>,Wrong:<p>4 &times; 7 = 27</p>,Wrong:<p>30 &times; 4 = 130</p>,Wrong:<p>9 &times; 6 = 45</p>"
27,The Multiplication Table,"<p>Which of the following multiplication sentences is <span style=""text-decoration: underline;"">not true</span>?</p>","Right:<p>3 &times; 3 = 6</p>,Wrong:<p>20 &times; 5 = 100</p>,Wrong:<p>5 &times; 8 = 40</p>,Wrong:<p>4 &times; 9 = 36</p>"
28,Finding the Product Using the Multiplication Table,<p>3 &times; 5 =</p>,"Right:<p>6 &times; 5</p>,Wrong:<p>5</p>,Wrong:<p>10</p>,Wrong:<p>9</p>,Wrong:<p>3 &times; 5</p>,Wrong:<p>6 &times; 1</p>,Wrong:<p>3 &times; 0</p>"
29,Finding the Unknown Factor Using the Multiplication Table,"<p>Choose the pair of whole numbers that will make the following number sentence true.</p>
<p>8 &times; (___ &times; ___) = 28 &times; 8</p>","Right:<p>4, 9</p>,Wrong:<p>5, 2</p>,Wrong:<p>8, 3</p>,Wrong:<p>1, 6</p>,Wrong:<p>6</p>,Wrong:<p>24</p>,Wrong:<p>32</p>,Wrong:<p>7</p>,Wrong:<p>42</p>,Wrong:<p>54</p>,Wrong:<p>3 , 2</p>,Wrong:<p>16, 6</p>,Wrong:<p>3, 6</p>"
30,Division Using Multiplication Table,<p>The equation that has the same unknown value as 72 &divide; 9 =?</p>,"Right:<p>60</p>,Wrong:<p>? &divide; 9 = 72</p>,Wrong:<p>72 &times; ? = 9</p>,Wrong:<p>9 &divide; 72 = ?</p>,Wrong:<p>8</p>,Wrong:<p>9</p>,Wrong:<p>11</p>,Wrong:<p>72 &times; 8 = <img title=""box-out-line-20"" src=""https://www.iconmath.com/js/tinymce/plugins/mathimages/img/box-out-line-20.png"" /></p>,Wrong:<p>72 + 8 = <img title=""box-out-line-20"" src=""https://www.iconmath.com/js/tinymce/plugins/mathimages/img/box-out-line-20.png"" /></p>,Wrong:<p><img title=""box-out-line-20"" src=""https://www.iconmath.com/js/tinymce/plugins/mathimages/img/box-out-line-20.png"" /> &divide; 8 = 72</p>,Wrong:<p>9 &times;&nbsp;<span style=""text-decoration: underline;""> &nbsp; &nbsp; ?&nbsp; &nbsp;&nbsp;</span> = 56</p>,Wrong:<p>30 &times; 5&nbsp; =&nbsp;<span style=""text-decoration: underline;"">&nbsp; &nbsp; ?&nbsp; &nbsp;&nbsp;</span></p>,Wrong:<p>24 &divide; 3&nbsp; =&nbsp;<span style=""text-decoration: underline;""> &nbsp; &nbsp;?&nbsp; &nbsp;&nbsp;</span></p>,Wrong:<p>8</p>,Wrong:<p>72</p>,Wrong:<p>90</p>,Wrong:<p>42</p>,Wrong:<p>49</p>,Wrong:<p>63</p>,Wrong:<p>42</p>,Wrong:<p>49</p>,Wrong:<p>56</p>,Wrong:<p>6 &times; 96 = 16</p>,Wrong:<p>16 &divide; 96 = 6</p>,Wrong:<p>96 &divide; 16 = 16</p>,Wrong:<p><span style=""text-decoration: underline;"">&nbsp;?&nbsp;</span> &times; 7 = 54</p>,Wrong:<p>63 &divide;<span style=""text-decoration: underline;""> ?&nbsp;</span> = 9</p>,Wrong:<p>48 &times; 6 =<span style=""text-decoration: underline;"">&nbsp; ?&nbsp;</span> &nbsp;</p>,Wrong:<p>100</p>,Wrong:<p>6</p>,Wrong:<p>10</p>"
31,Division Using Multiplication Table,"<p>What is the unknown number that makes the equation ""? &divide; 8 = 7"" true?</p>","Right:<p>56</p>,Wrong:<p>42</p>,Wrong:<p>49</p>,Wrong:<p>63</p>"
32,The Commutative Property of Multiplication,<p>Which property of multiplication is shown in the equation? <br /> &ldquo;465 &times; 611 = 611 &times; 465&rdquo;</p>,"Right:<p>4, 9</p>,Wrong:<p>Associative property</p>,Wrong:<p>Distributive property</p>,Wrong:<p>(12 &times; 43) &times; 48 = 12 &times; (43 &times; 48)</p>,Wrong:<p>1,092 &times; (10 + 45) = 1,092 &times; 10 + 1,092 &times; 45</p>,Wrong:<p>762 = 56 &times; 12</p>,Wrong:<p>321 + 511</p>,Wrong:<p>21 &times; 511</p>,Wrong:<p>321 &times; 51</p>,Wrong:<p>2,000</p>,Wrong:<p>321</p>,Wrong:<p>326</p>,Wrong:<p>5</p>,Wrong:<p>495</p>,Wrong:<p>1,000</p>,Wrong:<p>5, 2</p>,Wrong:<p>8, 3</p>,Wrong:<p>1, 6</p>,Wrong:<p>3 , 2</p>,Wrong:<p>16, 6</p>,Wrong:<p>3, 6</p>"
33,The Associative Property of Multiplication,<p>Which equation shows the associative property of multiplication?</p>,"Right:<p>4, 9</p>,Wrong:<p>214 &times; 9 = 9 &times; 214</p>,Wrong:<p>1,092 &times; (10 + 45) = 1,092 &times; 10 + 1,092 &times; 45</p>,Wrong:<p>568 = 56 + 512</p>,Wrong:<p>899</p>,Wrong:<p>5</p>,Wrong:<p>100</p>,Wrong:<p>5, 2</p>,Wrong:<p>8, 3</p>,Wrong:<p>1, 6</p>,Wrong:<p>6 &times; 5</p>,Wrong:<p>7 &times; 6</p>,Wrong:<p>6 &times; 12</p>,Wrong:<p>6 &times; 5</p>,Wrong:<p>6 &times; 8</p>,Wrong:<p>5 &times; 14</p>,Wrong:<p>3 , 2</p>,Wrong:<p>16, 6</p>,Wrong:<p>3, 6</p>"
