﻿﻿﻿﻿﻿﻿﻿﻿"﻿﻿﻿﻿﻿﻿﻿﻿Id",Lesson,Question,AnswerText
37,The Multiplication Table,<p>3 &times; 5 =</p>,"Right:<p>7 &times; 4 = 28</p>,Wrong:<p>5</p>,Wrong:<p>10</p>,Wrong:<p>9</p>,Wrong:<p>3 &times; 5</p>,Wrong:<p>6 &times; 1</p>,Wrong:<p>3 &times; 0</p>,Wrong:<p>9 &times; 8 = 72</p>,Wrong:<p>5 &times; 60 = 300</p>,Wrong:<p>9 &times; 5 = 45</p>,Wrong:<p>9 &times; 8 = 73</p>,Wrong:<p>80 &times; 6 = 560</p>,Wrong:<p>9 &times; 7 = 62</p>"
38,The Multiplication Table,"<p>Which of the following multiplication sentences is <span style=""text-decoration: underline;"">not true</span>?</p>","Right:<p>7 &times; 6 = 42</p>,Wrong:<p>6 &times; 8 = 48</p>,Wrong:<p>4 &times; 20 = 80</p>,Wrong:<p>3 &times; 8 = 24</p>,Wrong:<p>7 &times; 8 = 65</p>,Wrong:<p>20 &times; 7 = 150</p>,Wrong:<p>5 &times; 6 = 35</p>"
39,The Multiplication Table,"<p>Which of the following multiplication sentences is <span style=""text-decoration: underline;"">not true</span>?</p>","Right:<p>8 &times; 6 = 48</p>,Wrong:<p>11 &times; 4 = 44</p>,Wrong:<p>5 &times; 70 = 350</p>,Wrong:<p>7 &times; 2 = 14</p>,Wrong:<p>4 &times; 7 = 27</p>,Wrong:<p>30 &times; 4 = 130</p>,Wrong:<p>9 &times; 6 = 45</p>"
40,The Multiplication Table,"<p>Which of the following multiplication sentences is <span style=""text-decoration: underline;"">not true</span>?</p>","Right:<p>3 &times; 3 = 6</p>,Wrong:<p>20 &times; 5 = 100</p>,Wrong:<p>5 &times; 8 = 40</p>,Wrong:<p>4 &times; 9 = 36</p>"
41,Finding the Product Using the Multiplication Table,<p>3 &times; 5 =</p>,"Right:<p>6 &times; 5</p>,Wrong:<p>5</p>,Wrong:<p>10</p>,Wrong:<p>9</p>,Wrong:<p>3 &times; 5</p>,Wrong:<p>6 &times; 1</p>,Wrong:<p>3 &times; 0</p>"
42,Finding the Unknown Factor Using the Multiplication Table,"<p>Choose the pair of whole numbers that will make the following number sentence true.</p>""<p>8 &times; (___ &times; ___) = 28 &times; 8</p>","Right:<p>4, 9</p>,Wrong:<p>5, 2</p>,Wrong:<p>8, 3</p>,Wrong:<p>1, 6</p>,Wrong:<p>6</p>,Wrong:<p>24</p>,Wrong:<p>32</p>,Wrong:<p>7</p>,Wrong:<p>42</p>,Wrong:<p>54</p>,Wrong:<p>3 , 2</p>,Wrong:<p>16, 6</p>,Wrong:<p>3, 6</p>"
43,Finding the Unknown Factor in Division Problems,<p>The equation that has the same unknown value as 72 &divide; 9 =?</p>,"Right:<p>60</p>,Wrong:<p>? &divide; 9 = 72</p>,Wrong:<p>72 &times; ? = 9</p>,Wrong:<p>9 &divide; 72 = ?</p>,Wrong:<p>8</p>,Wrong:<p>9</p>,Wrong:<p>11</p>,Wrong:<p>72 &times; 8 = <img title=""box-out-line-20"" src=""https://www.iconmath.com/js/tinymce/plugins/mathimages/img/box-out-line-20.png"" /></p>,Wrong:<p>72 + 8 = <img title=""box-out-line-20"" src=""https://www.iconmath.com/js/tinymce/plugins/mathimages/img/box-out-line-20.png"" /></p>,Wrong:<p><img title=""box-out-line-20"" src=""https://www.iconmath.com/js/tinymce/plugins/mathimages/img/box-out-line-20.png"" /> &divide; 8 = 72</p>,Wrong:<p>9 &times;&nbsp;<span style=""text-decoration: underline;""> &nbsp; &nbsp; ?&nbsp; &nbsp;&nbsp;</span> = 56</p>,Wrong:<p>30 &times; 5&nbsp; =&nbsp;<span style=""text-decoration: underline;"">&nbsp; &nbsp; ?&nbsp; &nbsp;&nbsp;</span></p>,Wrong:<p>24 &divide; 3&nbsp; =&nbsp;<span style=""text-decoration: underline;""> &nbsp; &nbsp;?&nbsp; &nbsp;&nbsp;</span></p>,Wrong:<p>8</p>,Wrong:<p>72</p>,Wrong:<p>90</p>,Wrong:<p>42</p>,Wrong:<p>49</p>,Wrong:<p>63</p>,Wrong:<p>42</p>,Wrong:<p>49</p>,Wrong:<p>56</p>,Wrong:<p>6 &times; 96 = 16</p>,Wrong:<p>16 &divide; 96 = 6</p>,Wrong:<p>96 &divide; 16 = 16</p>,Wrong:<p><span style=""text-decoration: underline;"">&nbsp;?&nbsp;</span> &times; 7 = 54</p>,Wrong:<p>63 &divide;<span style=""text-decoration: underline;""> ?&nbsp;</span> = 9</p>,Wrong:<p>48 &times; 6 =<span style=""text-decoration: underline;"">&nbsp; ?&nbsp;</span> &nbsp;</p>,Wrong:<p>100</p>,Wrong:<p>6</p>,Wrong:<p>10</p>"
44,Finding the Unknown Factor in Division Problems,"<p>What is the unknown number that makes the equation ""? &divide; 8 = 7"" true?</p>","Right:<p>56</p>,Wrong:<p>42</p>,Wrong:<p>49</p>,Wrong:<p>63</p>"
45,The Commutative Property of Multiplication,<p>Which property of multiplication is shown in the equation? <br /> &ldquo;465 &times; 611 = 611 &times; 465&rdquo;</p>,"Right:<p>4, 9</p>,Wrong:<p>Associative property</p>,Wrong:<p>Distributive property</p>,Wrong:<p>(12 &times; 43) &times; 48 = 12 &times; (43 &times; 48)</p>,Wrong:<p>1,092 &times; (10 + 45) = 1,092 &times; 10 + 1,092 &times; 45</p>,Wrong:<p>762 = 56 &times; 12</p>,Wrong:<p>321 + 511</p>,Wrong:<p>21 &times; 511</p>,Wrong:<p>321 &times; 51</p>,Wrong:<p>2,000</p>,Wrong:<p>321</p>,Wrong:<p>326</p>,Wrong:<p>5</p>,Wrong:<p>495</p>,Wrong:<p>1,000</p>,Wrong:<p>5, 2</p>,Wrong:<p>8, 3</p>,Wrong:<p>1, 6</p>,Wrong:<p>3 , 2</p>,Wrong:<p>16, 6</p>,Wrong:<p>3, 6</p>"
46,The Associative Property of Multiplication,<p>Which equation shows the associative property of multiplication?</p>,"Right:<p>4, 9</p>,Wrong:<p>214 &times; 9 = 9 &times; 214</p>,Wrong:<p>1,092 &times; (10 + 45) = 1,092 &times; 10 + 1,092 &times; 45</p>,Wrong:<p>568 = 56 + 512</p>,Wrong:<p>899</p>,Wrong:<p>5</p>,Wrong:<p>100</p>,Wrong:<p>5, 2</p>,Wrong:<p>8, 3</p>,Wrong:<p>1, 6</p>,Wrong:<p>6 &times; 5</p>,Wrong:<p>7 &times; 6</p>,Wrong:<p>6 &times; 12</p>,Wrong:<p>6 &times; 5</p>,Wrong:<p>6 &times; 8</p>,Wrong:<p>5 &times; 14</p>,Wrong:<p>3 , 2</p>,Wrong:<p>16, 6</p>,Wrong:<p>3, 6</p>"
